jobid,title,employer,location,salary,description,tags,url,date,weeknum
115143,Quality Assurance Engineer,Meridian Health Plan,"Detroit, MI",,"A Day in the Life of a Quality Assurance Engineer: 

This position is responsible for planning, and…","[""selenium"",""jenkins"",""build-automation"",""automated-tests"",""cucumberroadrun""]",/jobs/115143/quality-assurance-engineer-meridian-health-plan,2016-08-31,35
119801,Software Application Developer,Smith & Burgess,"Houston, TX",,"Recognized as one of Houston's Best Places to Work by the Houston Business Journal, we are currently…","[""c#"","".net"",""entity-framework"",""sql-server"",""angularjs""]",/jobs/119801/software-application-developer-smith-burgess,2016-08-31,35
123971,Sr/Software Engineer,Revenue Analytics,"Atlanta, GA",Provides Equity,Revenue Analytics has an immediate need to hire a Software Engineer for our Platform Development team.…,"[""java"",""c#"",""r"",""python"",""sql""]",/jobs/123971/sr-software-engineer-revenue-analytics,2016-08-31,35
110392,Senior Software Engineer- Goodreads,Amazon,"Seattle, WA",,The Goodreads Seattle team is seeking a strong senior software development engineer to build new…,"[""java"",""ruby"",""c++""]",/jobs/110392/senior-software-engineer-goodreads-amazon,2016-08-31,35
123991,Full Stack Engineer,Hanley Wood,"San Francisco, CA","$90,000 - 150,000",Hanley Wood is currently seeking a Full Stack Engineer responsible for building and maintaining a custom…,"[""html"",""css"",""javascript"",""mysql"",""nosql""]",/jobs/123991/full-stack-engineer-hanley-wood,2016-08-31,35
123990,Senior Software Engineer,David Weekley Homes,"Houston, TX",,We are looking for experienced developers who want to share their knowledge and learn new skills in a…,"[""c#"","".net"",""asp.net-mvc"",""nservicebus"",""sql-server""]",/jobs/123990/senior-software-engineer-david-weekley-homes,2016-08-31,35
119612,Senior DevOps Engineer,Virtru,"Santa Cruz, CA",Provides Equity,"NOTE: All candidates must be United States citizens.
Automation, APIs, orchestration, scaling, backups……","[""amazon-web-services"",""ansible"",""docker"",""terraform"",""node.js"",""sysadmin""]",/jobs/119612/senior-devops-engineer-virtru,2016-08-31,35
123988,Quality Assurance Engineer,Hawkes Learning,"Mount Pleasant, SC",,"At Hawkes Learning, we believe that we can positively impact the educational experience and lives of…","[""agile"",""sql-server""]",/jobs/123988/quality-assurance-engineer-hawkes-learning,2016-08-31,35
122008,Python Developer (m/f),Delivery Hero,"Berlin, Germany",,Delivery Hero is building the next generation global online food-ordering platform. Our awesome…,"[""python"",""django"",""rest"",""amazon-web-services"",""api""]",/jobs/122008/python-developer-m-f-delivery-hero,2016-08-31,35
122014,Senior .Net Developer,Raet,"Madrid, Spain",,"Senior .Net Developer (Madrid, Spain)
Salary: €Negotiable
Are you up for the Software Development…","[""c#"",""sql-server"",""javascript"",""asp.net"","".net""]",/jobs/122014/senior-net-developer-raet,2016-08-31,35
122012,Software Engineer - C#,Spektrix Ltd,"London, UK","£30,000 - 60,000","Our Technology
Our system is a multi-tenant, scalable web application written in C# and backed by SQL…","[""c#"",""asp.net"",""javascript"",""sql-server"",""saas""]",/jobs/122012/software-engineer-c-sharp-spektrix-ltd,2016-08-31,35
115197,Android Developer,JP Morgan,"Glasgow, UK",,Do you want to join one of the world’s largest mobile development teams working with the latest tools…,"[""android"",""java"",""android-5.0-lollipop"",""android-6.0-marshmallow"",""sdk""]",/jobs/115197/android-developer-jp-morgan,2016-08-31,35
122011,Senior Developer Java,CZ,"Tilburg, Netherlands",,"Senior Developer JavaTilburg, 38 uurWat ga je doen als Senior Java DeveloperAls Senior developer van het…",[],/jobs/122011/senior-developer-java-cz,2016-08-31,35
124019,Analyst,BlueYard Capital,"Berlin, Deutschland",,We are excited to be expanding the BlueYard team with an Analyst position. This is a two-year role based…,[],/jobs/124019/analyst-blueyard-capital,2016-08-31,35
110418,Do you want to improve how our app works with different mobile phones?,Telefonica Innovation,"Madrid, Spain",,"Device Certification for Insurance Telematics
£competitive + benefits                      …","[""python"",""mongodb"",""android"",""ios"",""matlab""]",/jobs/110418/do-you-want-to-improve-how-our-app-works-with-telefonica-innovation,2016-08-31,35
124020,Agile Java Developer,Sky,"London, UK",,"Agile Java Developer – Technology UK - Tower Hill
Sky is Europe's leading entertainment company and…",[],/jobs/124020/agile-java-developer-sky,2016-08-31,35
124018,Quality Assurance Lead Engineer,Rakuten,"Setagaya-ku, Japan",Provides Equity,"At Rakuten, we aim at building a global ecosystem of interconnected internet services.  Our team ensures…","[""selenium"",""automated-tests"",""selenium-webdriver"",""tdd"",""bdd""]",/jobs/124018/quality-assurance-lead-engineer-rakuten,2016-08-31,35
124016,.NET / Sitecore Ontwikkelaar,Volkswagen Pon Financial Services,"Amersfoort, Netherlands",,Sitecore is momenteel hèt .NET Content Management Systeem van nu. Ook binnen VWPFS is het digitale…,"["".net"",""sitecore""]",/jobs/124016/net-sitecore-ontwikkelaar-volkswagen-pon-financial,2016-08-31,35
124015,Lead Developer (ou CTO) PHP/JS | CDI en Startup,Luckey Homes,"Paris, France","€45,000 - 60,000",Nous nous appuyons sur la technologie pour inventer le futur des agences de location saisonnière.Après…,"[""software-developer"",""javascript"",""angular"",""php"",""laravel""]",/jobs/124015/lead-developer-ou-cto-php-js-cdi-en-startup-luckey-homes,2016-08-31,35
122006,Python Developer,JP Morgan,"Glasgow, UK",,"JP Morgan - Python Developer 

Glasgow Technology Centre

Job Description:

As a member of the…","[""python"",""java"",""sql"",""object-oriented-database""]",/jobs/122006/python-developer-jp-morgan,2016-08-31,35
124013,Senior Front End Ontwikkelaar,Nationale-Nederlanden,"Den Haag, Netherlands",,"Senior Front End OntwikkelaarHet persoonlijk, relevant en digitaal zijn richting klanten stelt hoge…","[""javascript"",""html"",""css3""]",/jobs/124013/senior-front-end-ontwikkelaar-nationale-nederlanden,2016-08-31,35
115187,Software Development Traineeship,Accenture,"Heerlen, Netherlands",,Heb jij een voorliefde voor techniek en wil je graag leren hoe je applicaties en websites ontwikkelt…,"[""c#"",""c++"",""python"",""javascript"",""ruby""]",/jobs/115187/software-development-traineeship-accenture,2016-08-31,35
110416,Would you like to help us to develop Drivies app?,Telefonica Innovation,"Madrid, Spain",,"Marketing and Media Specialist for Insurance Telematics
£competitive + benefits      Madrid…","[""google-analytics"",""social-networking"",""sem"",""seo""]",/jobs/110416/would-you-like-to-help-us-to-develop-drivies-app-telefonica-innovation,2016-08-31,35
124011,DevOps Engineer,ManageFlitter,"Sydney, Australia","$70,000 - 120,000",ManageFlitter – http://manageflitter.com – is a multi-award winning SaaS social media management…,"[""lamp"",""php"",""node.js"",""javascript"",""mysql""]",/jobs/124011/devops-engineer-manageflitter,2016-08-31,35
124010,.NET / Cloud en Service Bus Ontwikkelaar,Volkswagen Pon Financial Services,"Amersfoort, Netherlands",,Het software platform van VWPFS is flink in beweging. Waar we inzetten op een vergaande digitalisering…,"["".net""]",/jobs/124010/net-cloud-en-service-bus-ontwikkelaar-volkswagen-pon-financial,2016-08-31,35
124009,Senior Software Engineer (m/w),Deutsches Patent- und Markenamt,"München, Deutschland",,"Die Aufgaben des Senior Software Engineer (m/w) stellen sich wie folgt dar:

grundsätzliche…","[""xml"",""xsd"",""xpath"",""java-ee"",""bpel""]",/jobs/124009/senior-software-engineer-m-w-deutsches-patent-und,2016-08-31,35
122005,Data Scientist (f/m) bei Sony Music,Sony Music Entertainment Germany GmbH,"München, Deutschland",,"Deine Aufgaben
Du bist in dieser Position unser  technischer Experte bei der Erstellung und…","[""data-science"",""tableau"",""alteryx"",""data-mining"",""machine-learning""]",/jobs/122005/data-scientist-f-m-bei-sony-music-sony-music-entertainment,2016-08-31,35
124008,PHP-Entwickler (w/m),NEXUS Netsoft GmbH,"Langenfeld (Rheinland), Deutschland",,Als PHP-Entwickler (w/m) wirst Du Teil unseres Teams und unterstützt die Neu- und Weiter­ent­wicklung…,"[""entwickler"",""entwicklerin"",""entwicklung"",""projektarbeit""]",/jobs/124008/php-entwickler-w-m-nexus-netsoft-gmbh,2016-08-31,35
124007,Senior Software-Ingenieur (m/w) Digitalisierungszentrum / externe Schnittstellen,Deutsches Patent- und Markenamt,"München, Deutschland",,"Das Aufgabengebiet umfasst im Wesentlichen die folgenden Tätigkeiten:

technische Koordination und…","[""sql"",""c#"",""vba"",""xsd"",""xml""]",/jobs/124007/senior-software-ingenieur-m-w-deutsches-patent-und,2016-08-31,35
124006,Senior Systems Engineer IT (m/w) als Systemanalytiker (m/w) Querschnittsdienste,Deutsches Patent- und Markenamt,"München, Deutschland",,"Das Aufgabengebiet umfasst im Wesentlichen die folgenden Tätigkeiten:

Erarbeitung von technischen…","[""sap"",""sql"",""oracle"",""dms"",""virtualization""]",/jobs/124006/senior-systems-engineer-it-m-w-als-deutsches-patent-und,2016-08-31,35
124005,Softwareingenieur (m/w) Qualitätssicherung und Konfigurationsmanagement,Deutsches Patent- und Markenamt,"München, Deutschland",,"Das Aufgabengebiet umfasst im Wesentlichen die folgenden Tätigkeiten:

Koordination aller Maßnahmen…","[""java-ee"","".net"",""oracle"",""jboss"",""eclipse""]",/jobs/124005/softwareingenieur-m-w-qualit%C3%A4tssicherung-und-deutsches-patent-und,2016-08-31,35
124004,Customer Care Technologist (Zendesk),Comcast,"Philadelphia, PA",,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,"[""background"",""dynamic"",""deployment""]",/jobs/124004/customer-care-technologist-zendesk-comcast,2016-08-31,35
124003,"Senior Software Engineer, Engineering Efficiency",Comcast,"Denver, CO",,Comcast's Technology & Product organization works at the intersection of media and technology. Our…,"[""video"",""javascript"",""java""]",/jobs/124003/senior-software-engineer-engineering-efficiency-comcast,2016-08-31,35
123997,"Manager, Software Delivery",Meteorcomm,"Seattle, WA",,"Manager, Software Delivery

Meteorcomm, a global telecommunications company that provides data…","[""manager"",""software-engineering""]",/jobs/123997/manager-software-delivery-meteorcomm,2016-08-31,35
124002,Senior DevOps CDN Analytics Engineer,Comcast,"Colorado Springs, CO",,Comcast's Technology & Product organization works at the intersection of media and technology. Our…,"[""apache"",""http"",""mobile""]",/jobs/124002/senior-devops-cdn-analytics-engineer-comcast,2016-08-31,35
103863,Vi söker dig som brinner för systemutveckling!,LearningWell East,"Nyköping, Sweden",,Vi behöver dig som är lite bättre än andra. Det betyder inte att du måste vara 50 år och ha programmerat…,"[""node.js"",""javascript"",""angular"",""c#"","".net""]",/jobs/103863/vi-s%C3%B6ker-dig-som-brinner-f%C3%B6r-systemutveckling-learningwell-east,2016-08-31,35
45305,C# .Developer- Auctions -Bleeding edge tech & great work environment,Perfect Channel,"London, UK",,We are looking for talented Junior / Mid Level and Senior c# developers who get excited about technology…,"[""c#"",""asp.net-mvc"",""rabbitmq"",""couchbase"",""elasticsearch""]",/jobs/45305/c-sharp-developer-auctions-bleeding-edge-tech-perfect-channel,2016-08-31,35
64689,Senior .NET Developer,Agile Bridge,"Centurion, South Africa","R480,000 - 600,000","As a senior .NET developer your duties include:

Design full stack web applications from user…","[""c#"",""asp.net-mvc"",""html5"",""javascript"","".net""]",/jobs/64689/senior-net-developer-agile-bridge,2016-08-31,35
118647,Full Stack Developers - Java / JavaScript Stack,RBC,"Toronto, ON, Canada",,.What is the opportunity?RBC Investor and Treasury Services (I&TS) has developed a multi-year business…,"[""java"",""javascript"",""angularjs""]",/jobs/118647/full-stack-developers-java-javascript-stack-rbc,2016-08-31,35
108022,"Sr. Manager, Technical Program Management | Amazon Exports & Expansion",Amazon,"Seattle, WA",,The Amazon Exports and Expansion team is looking for an experienced Sr. Manager of Technical Program…,"[""see"",""description"",""import""]",/jobs/108022/sr-manager-technical-program-management-amazon,2016-08-31,35
123916,Senior Java Software Engineer,Inomial Pty Ltd,"Melbourne, Australia",,We're looking for an experienced Java developer to join our talented Scrum team to help us deliver a…,"[""java-ee"",""postgresql"",""vaadin"",""soap"",""jms""]",/jobs/123916/senior-java-software-engineer-inomial-pty-ltd,2016-08-31,35
108021,Senior Software Developer Manager,Amazon,"Vancouver, BC, Canada",,Amazon Prime is looking for an experienced Senior Software Development Manager to lead the development…,"[""see"",""description"",""java""]",/jobs/108021/senior-software-developer-manager-amazon,2016-08-31,35
110407,Senior Software Design Engineer,Concur Technologies,"Bellevue, WA","$115,000 - 130,000",Position Description: Do you love that feeling of trying something completely new and having it work? Is…,"[""javascript"",""node.js"",""html5"",""angularjs""]",/jobs/110407/senior-software-design-engineer-concur-technologies,2016-08-31,35
108019,Software Development Engineer - Paid Search,Amazon,"Seattle, WA",,Amazon’s Automated Advertising team is building the Internet's largest-scale fully-automated advertising…,"[""java"",""ml"",""hadoop""]",/jobs/108019/software-development-engineer-paid-search-amazon,2016-08-31,35
104005,Java Platform Engineer,"Wallaby Financial, Inc.","Pasadena, CA","$90,000 - 140,000",Wallaby Financial is seeking a Platform Engineer to develop and own cutting-edge back-end services for…,"[""java"",""mysql"",""spring"",""nosql"",""redis""]",/jobs/104005/java-platform-engineer-wallaby-financial-inc,2016-08-31,35
108017,Software Development Manager,Amazon,"Cambridge, MA",,Interested in Machine Learning? How about Amazon Echo? We’re building the machine learning platform…,"[""management"",""javascript"",""java""]",/jobs/108017/software-development-manager-amazon,2016-08-31,35
110406,Software Design Engineer III,Concur Technologies,"Bellevue, WA","$90,000 - 105,000","Position Description:
Do you love that feeling of trying something completely new and having it work?…","[""javascript"",""node.js"",""mongodb"",""amazon-web-services""]",/jobs/110406/software-design-engineer-iii-concur-technologies,2016-08-31,35
123181,Software Engineer,Utilacor Pty Ltd,"Hawthorn East, Australia","$80,000 - 100,000",We are currently seeking a Software Engineer to join our Melbourne based operation. You will be part of…,"[""vb.net"",""c#"",""javascript"",""html5"",""jquery"",""sysadmin""]",/jobs/123181/software-engineer-utilacor-pty-ltd,2016-08-31,35
101759,Data Engineer,OfferUp,"Seattle, WA","$120,000 - 155,000

                                / 
Provides Equity","At OfferUp, as our user base and market penetration grows exponentially, we are experiencing an…","[""java"",""etl"",""hadoop"",""apache-spark"",""sql""]",/jobs/101759/data-engineer-offerup,2016-08-31,35
101761,Sr. Software Development Engineer - Backend,OfferUp,"Seattle, WA","$140,000 - 180,000

                                / 
Provides Equity","You solve problems by building things. You think in specifications and APIs, see concepts in chaos, and…","[""backend"",""web-services"",""rest"",""api-design"",""distributed-computing""]",/jobs/101761/sr-software-development-engineer-backend-offerup,2016-08-31,35
123708,Full Stack Engineer for Elementary Programming Curriculum,Kodable,"Sunnyvale, CA","$70 - 125

                                / 
Provides Equity",What could be better than impacting the lives of millions of kids? Help us teach the skills kids need in…,"[""ruby"",""javascript"",""sequel"",""grape"",""rest""]",/jobs/123708/full-stack-engineer-for-elementary-programming-kodable,2016-08-31,35
115156,Service Management Lead Systems Engineer,CareFirst BlueCross BlueShield,"Columbia, MD",,The Lead Service Management Systems Engineer is responsible for guiding the team in the analysis of user…,"[""linux"",""mysql"",""javascript"",""oracle"",""apache""]",/jobs/115156/service-management-lead-systems-engineer-carefirst-bluecross-blueshield,2016-08-31,35
123998,Senior Android IoT Engineer,Inkstone,"Seattle, WA","$90,000 - 115,000","Inkstone is looking for an experienced software engineer to join our team and add to our fun, creative…","[""java"",""android"",""agile"",""iot""]",/jobs/123998/senior-android-iot-engineer-inkstone,2016-08-31,35
115154,Lead Practice Corporate Environment Specialist,CareFirst BlueCross BlueShield,"Owings Mills, MD",,The Practice Lead has responsibility and accountability for the practice areas defined below and reports…,"[""java"",""javascript"",""perl"",""websphere"",""unix""]",/jobs/115154/lead-practice-corporate-environment-specialist-carefirst-bluecross-blueshield,2016-08-31,35
115153,Lead Application Integration Specialist,CareFirst BlueCross BlueShield,"Washington, DC",,"Development and/or modification of procedures, programs or hardware to solve business systems problems,…","[""unix"",""java"",""tibco"",""ejb"",""jsp"",""sysadmin""]",/jobs/115153/lead-application-integration-specialist-carefirst-bluecross-blueshield,2016-08-31,35
123547,Senior Android Engineer,NFL,"Culver City, CA",,"The National Football League is looking for an experienced app developer to join the NFL Engineers,…","[""java"",""graphql"",""rx-java"",""dagger-2"",""retrofit""]",/jobs/123547/senior-android-engineer-nfl,2016-08-31,35
119810,Architect - Mobile -408877BR,Best Buy,"Seattle, WA",,"Our work, in a word, is extraordinary. At Best Buy, we are developing our own cloud and mobile…","[""android"",""ios"",""windows"",""html"",""mobile""]",/jobs/119810/architect-mobile-408877br-best-buy,2016-08-31,35
123996,iOS Engineer,WalmartLabs,"Portland, OR","$120,000 - 160,000

                                / 
Provides Equity","We're looking for a few good engineers to help us build our iPhone app.  If working at scale in a small,…","[""swift"",""objective-c"",""ios"",""iphone""]",/jobs/123996/ios-engineer-walmartlabs,2016-08-31,35
124081,Senior Consultant,MarkLogic,"Minneapolis, MN",,"The Senior Consultant will be an integral part of the MarkLogic consulting team, providing assistance…","[""java-ee"","".net"",""sql"",""xml"",""marklogic""]",/jobs/124081/senior-consultant-marklogic,2016-09-01,35
108129,Software Development Engineer,Amazon,"Vancouver, BC, Canada",,Amazon.com stores and sells millions of unique items through its Fulfillment Centers (FCs). These items…,"[""computer"",""science""]",/jobs/108129/software-development-engineer-amazon,2016-09-01,35
79231,User Interface Designer / Web Developer,AutoLoop,"Clearwater, FL",,We are looking for a front-end web developer to join our team and help us serve our continuously growing…,"[""html"",""css"",""photoshop"",""javascript"",""jquery""]",/jobs/79231/user-interface-designer-web-developer-autoloop,2016-09-01,35
124080,Senior Consultant,MarkLogic,"London, UK",,The Senior Consultant is a customer-facing position chartered with engaging customers in a consultative…,"[""java-ee"","".net"",""sql"",""javascript"",""marklogic""]",/jobs/124080/senior-consultant-marklogic,2016-09-01,35
124079,Senior Consultant,MarkLogic,"Utrecht, Netherlands",,The Senior Consultant is a customer-facing position chartered with engaging customers in a consultative…,"[""java-ee"","".net"",""sql"",""javascript"",""marklogic""]",/jobs/124079/senior-consultant-marklogic,2016-09-01,35
124078,Senior Software Engineer: Developer Tools,DigitalOcean,No office location,,DigitalOcean is on a mission to simplify cloud infrastructure for the millions of software developers…,[],/jobs/124078/senior-software-engineer-developer-tools-digitalocean,2016-09-01,35
122069,"Senior Web Developer C#, MVC",Reserve Direct,"St. Louis, MO",,"Come work for a small, yet well-established online travel company.  Reserve Direct is a fast-growing…","[""c#"",""angularjs"",""javascript"","".net""]",/jobs/122069/senior-web-developer-c-sharp-mvc-reserve-direct,2016-09-01,35
124077,Web Developer,HLK,"St. Louis, MO",,"HLK, a full-service digital agency, with offices in St. Louis and Denver, is looking for a Web Developer…","[""html"",""css"",""javascript"",""php""]",/jobs/124077/web-developer-hlk,2016-09-01,35
123363,Full Stack Software Engineer,TraknProtect,"Chicago, IL",,"Company Overview:
TraknProtect is an inventory tracking and analytics platform that allows hotels to…","[""php"",""sql"",""mysql"",""oop""]",/jobs/123363/full-stack-software-engineer-traknprotect,2016-09-01,35
122062,Senior Full-Stack Django/Python Developer for Social Commerce Company,"Share Magnet, LLC","Manhattan Beach, CA","$100,000 - 150,000",Our primary vision has been to build tools and resources that help online stores actively engage with…,"[""pythondjango"",""postgresql"",""rest"",""json"",""javascript""]",/jobs/122062/senior-full-stack-django-python-developer-for-share-magnet-llc,2016-09-01,35
122068,Senior Software Engineer/Architect - Billing Systems,ICFLIX,"Dubai, United Arab Emirates",Provides Equity,icflix billing consists of over 40 Payment instruments billing currencies which includes batch processes…,"[""billing"",""recurring-billing"",""restful-architecture"",""ruby-on-rails"",""ruby""]",/jobs/122068/senior-software-engineer-architect-billing-icflix,2016-09-01,35
121948,DevOps Systems Engineer,ICANN,"Los Angeles, CA",,"Position Summary:
Working as a member of the IT Operations team to help streamline the development to…","[""ruby"",""bash"",""perl"",""git"",""python""]",/jobs/121948/devops-systems-engineer-icann,2016-09-01,35
124074,Senior Software Engineer,DataSync Technologies,"Reston, VA",Provides Equity,"DataSync is looking for outstanding software engineers.  While working at DataSync, you will be…","[""java"",""javascript"",""ruby-on-rails"",""python"",""rest""]",/jobs/124074/senior-software-engineer-datasync-technologies,2016-09-01,35
122067,"Functional JavaScript Developer - React, Redux, Ramda",ThinkCERCA,"Chicago, IL",,"OVERVIEW – ABOUT THINKCERCA
ThinkCERCA.com is a Chicago-based company passionately committed to…","[""react"",""redux"",""ramda"",""ruby-on-rails"",""ruby""]",/jobs/122067/functional-javascript-developer-react-redux-thinkcerca,2016-09-01,35
115259,Database Engineer- Integration Specialist,Autotask Corporation,"East Greenbush, NY",,"Job Summary:  The Database Engineer - Integration specialist must have solid, demonstratable knowledge…","[""sysadmin""]",/jobs/115259/database-engineer-integration-specialist-autotask-corporation,2016-09-01,35
124075,Lab Focused Software Engineer,Emerald Cloud Laboratory,"South San Francisco, CA",Provides Equity,"What You’ll Do
The Lab Focused Software Engineer designs and develops the software systems that…","[""wolfram-language"",""clojure"",""go"",""api-design"",""database""]",/jobs/124075/lab-focused-software-engineer-emerald-cloud-laboratory,2016-09-01,35
124073,Infrastructure Engineer,Emerald Cloud Laboratory,"South San Francisco, CA",Provides Equity,"What You’ll Do
The Infrastructure Engineer builds the distributed software systems that support the ECL…","[""distributed-system"",""datastore"",""docker"",""aws"",""go""]",/jobs/124073/infrastructure-engineer-emerald-cloud-laboratory,2016-09-01,35
123896,Application Software Engineer,Emerald Cloud Laboratory,"South San Francisco, CA",Provides Equity,"What You’ll Do
The Application Software Engineer designs and develops the Integrated Science…","[""electron"",""javascript"",""backbone.js"",""node.js"",""css""]",/jobs/123896/application-software-engineer-emerald-cloud-laboratory,2016-09-01,35
122066,Senior Software Engineer - Recommendation Systems,ICFLIX,"Dubai, United Arab Emirates",Provides Equity,Your job is to be able to put algorithms together to know what our customers want to watch before they…,"[""algorithm"",""recommendation-engine"",""predictionio"",""mahout-recommender""]",/jobs/122066/senior-software-engineer-recommendation-systems-icflix,2016-09-01,35
124072,DevOps Engineer,AppliedTrust,"Boulder, CO",,"Do you want to work with an inspiring team that is passionate about making a difference, where your…","[""linux"",""devops"",""ansible"",""puppet"",""chef"",""sysadmin""]",/jobs/124072/devops-engineer-appliedtrust,2016-09-01,35
117564,Senior Javascript Engineer,"Navitaire, an Amadeus Company","Salt Lake City, UT",,"Navitaire, an Amadeus company, is constantly trying to evolve the way the world thinks about travel. We…","[""javascript"",""ecmascript-6"",""html"",""djangular"",""css""]",/jobs/117564/senior-javascript-engineer-navitaire-an-amadeus-company,2016-09-01,35
96117,Senior JavaScript Developer,ICFLIX,"Dubai, United Arab Emirates",,This is a key position in our Web Core Tech Team responsible for driving next-gen ICFLIX development…,"[""javascript"",""css"",""web-services"",""samsung-smart-tv""]",/jobs/96117/senior-javascript-developer-icflix,2016-09-01,35
115256,"FPGA Engineer (openings in Amsterdam, Chicago, Sydney)",IMC Financial Markets,"Chicago, IL",,Are you someone who is passionate about challenging the status quo? Do you enjoy the process of problem…,"[""verilog"",""vhdl"",""c++"",""python"",""linux""]",/jobs/115256/fpga-engineer-openings-in-amsterdam-chicago-imc-financial-markets,2016-09-01,35
122064,Senior Software Engineer - Python,ICFLIX,"Dubai, United Arab Emirates",,You will be part of the team to architect and continuously develop our flexible cloud-based Content…,"[""python"",""ruby"",""javascript"",""ruby-on-rails"",""django""]",/jobs/122064/senior-software-engineer-python-icflix,2016-09-01,35
124064,Senior Information Technology Analyst - Database Option,"Superior Court of California, County of Sacramento","Sacramento, CA","$89,917 - 109,288","Applications must be submitted by 11:59 p.m. on September 16, 2106.
Incumbents in the Senior…","[""c#"",""oracle"",""sql-server"",""data-integration""]",/jobs/124064/senior-information-technology-analyst-database-superior-court-of-california,2016-09-01,35
99024,Principal Software Engineer,Cvent,"Atlanta, GA",Provides Equity,"Principal Software Engineer Position Description:
We are looking for Lead Software Engineers to join…","[""java"",""php"",""python"",""node.js"",""scala""]",/jobs/99024/principal-software-engineer-cvent,2016-09-01,35
124058,Solution Engineer Apps & Games (f/m),Fyber GmbH,"Berlin, Deutschland",,Our product is currently experienced by over half a billion users worldwide who are running apps that…,"[""objective-c"",""ios"",""android"",""sql"",""unity3d""]",/jobs/124058/solution-engineer-apps-games-f-m-fyber-gmbh,2016-09-01,35
107756,Android/iOS Mobile Developer with an established startup!,Service Fusion,"Colleyville, TX","$60,000 - 100,000

                                / 
Provides Equity",Are you an awesome programmer? Do you take great pride in your code? Do you naturally make the time to…,"[""android"",""ios"",""java"",""swift"",""offline""]",/jobs/107756/android-ios-mobile-developer-with-an-established-service-fusion,2016-09-01,35
124056,"Web Front-End Engineer--Come join a talented EdTech company in Barcelona, Spain!",Learnlight,"Barcelona, Spain",,We are a dynamic and fast growing company taking language training to the next level. Based in Barcelona…,"[""html5"",""css3"",""javascript"",""jquery"",""ui-design""]",/jobs/124056/web-front-end-engineer-come-join-a-talented-learnlight,2016-09-01,35
124021,Full Stack Web Developer,SCL Elections,"London, UK","£50,000 - 55,000","
Build and Maintain data processing platforms and applications.
Develop interactive d
Take…","[""mean-stack"",""php-mysqlidb"",""html5"",""responsive-design"",""amazon-web-services""]",/jobs/124021/full-stack-web-developer-scl-elections,2016-09-01,35
118016,Lead Front-End Developer,RBC,"Toronto, ON, Canada",,.What is the opportunity?We are looking for an experienced Senior Front-End Developer to join the…,"[""css"",""javascript"",""html""]",/jobs/118016/lead-front-end-developer-rbc,2016-09-01,35
124055,C# Developer to work with distributed systems in .Net at scale,Huddle,"London, UK",,"Huddle is looking for a talented, motivated and dedicated Backend Developer to join its exceptional…","[""c#"","".net"",""tdd"",""rest"",""microservices""]",/jobs/124055/c-sharp-developer-to-work-with-distributed-systems-in-huddle,2016-09-01,35
124054,Senior Software Engineer,NewsCred,"New York, NY",Provides Equity,We’re looking for a hands-on Senior Software Engineer to build cutting edge cloud applications to…,"[""javascript"",""angularjs"",""python"",""node.js"",""mongodb""]",/jobs/124054/senior-software-engineer-newscred,2016-09-01,35
124053,"Cloud Engineer & Architect (Amazon Web Services), NIBR Informatics",Novartis Institutes for BioMedical Research,"Basel, Switzerland",,You will be a senior member of the NIBR Informatics (NX) Cloud Team (size 4-6) with responsibility for…,"[""amazon-web-services"",""ruby"",""python"",""java"",""linux""]",/jobs/124053/cloud-engineer-architect-amazon-web-services-novartis-institutes-for,2016-09-01,35
124052,Senior Software Engineer - Core Team,"Sonian, Inc.","Waltham, MA",,"The Team:
At Sonian, we provide a hosted service for archiving, search, and analytics. We build secure,…","[""clojure"",""elasticsearch"",""java"",""javascript"",""postgresql""]",/jobs/124052/senior-software-engineer-core-team-sonian-inc,2016-09-01,35
124051,(Senior) Frontend Developer (m/f),MovingIMAGE24 GmbH,"Berlin, Deutschland",,movingimage is in a process of fast growth and therefore looking for qualified senior software engineers…,"[""angularjs"",""html5"",""javascript"",""typescript"",""webpack""]",/jobs/124051/senior-frontend-developer-m-f-movingimage24-gmbh,2016-09-01,35
124050,Lead Software Engineer,Careerbuilder,"Norcross, GA",,Lead Software Engineer  Who We Are:  CareerBuilder is the global leader in human capital solutions as we…,"[""software"",""engineer""]",/jobs/124050/lead-software-engineer-careerbuilder,2016-09-01,35
124049,Senior Java Developer (m/f),MovingIMAGE24 GmbH,"Berlin, Deutschland",,movingimage is in a process of fast growth and therefore looking for qualified senior software engineers…,"[""java"",""java-ee"",""hibernate"",""spring"",""mongodb""]",/jobs/124049/senior-java-developer-m-f-movingimage24-gmbh,2016-09-01,35
124047,Technical Curriculum Developer and Instructor,Skuid,"Walnut Creek, CA",,We are looking for talented individuals with curriculum development and instruction experience for a…,"[""saas"",""api"",""javascript"",""html"",""css""]",/jobs/124047/technical-curriculum-developer-and-instructor-skuid,2016-09-01,35
115254,"Senior Java Developer (Silicon Valley , CA)",SAP/ Ariba,"Palo Alto, CA",,"Location:  Palo Alto, CA - USA 
Company Overview:
Ariba, an SAP company, is the world’s business…","[""java"",""development""]",/jobs/115254/senior-java-developer-silicon-valley-ca-sap-ariba,2016-09-01,35
