jobid,title,employer,location,salary,description,tags,url,date,weeknum
85373,DevOps Engineer,"Envision Technology Partners, Inc.","Greenwood Village, CO",,"This new team member will be part of a DevOps team responsible for setup, deployment, monitoring,…","["".net"",""c#"",""sql-server"",""azure"",""web-services"",""sysadmin""]",/jobs/85373/devops-engineer-envision-technology-partners,2016-07-25,30
121575,Director of Software Development,Redflex Traffic Systems,"Glendale, AZ",,Are you looking for a career with a company to help give back to the community?  Does a career helping…,"[""software-development"",""complex-applications-deve"",""project-managment"",""q-a-testing-and-automatio""]",/jobs/121575/director-of-software-development-redflex-traffic-systems,2016-07-25,30
90414,DevOps Developer/Engineer,"Grassroots Technologies, Inc.","New York, NY",,GRT is carefully searching for a number of new candidates for a high profile engagement across both…,"[""system"",""build"",""devops"",""linux"",""chef""]",/jobs/90414/devops-developer-engineer-grassroots-technologies-inc,2016-07-25,30
107474,Agile Android Developer,Funambol Inc.,"Pavia, Italy",,We are looking for a Java Developer to join our Android Client Team. If you have genuine enthusiasm for…,"[""android"",""java"",""mobile"",""tdd""]",/jobs/107474/agile-android-developer-funambol-inc,2016-07-25,30
109898,PHP Senior Webdeveloper Research & Development (M/F),SAITOW AG,"Berlin, Deutschland",,"For our headquarter in Kaiserslautern and for our external offices in Hamburg, Berlin, Cologne,…","[""php"",""symfony2"",""phpunit"",""soa"",""relational-database""]",/jobs/109898/php-senior-webdeveloper-research-development-m-saitow-ag,2016-07-25,30
119355,Senior Developers - Winner of 'Best Company to Work for' 2016 + 3 NEW PROJECTS!,Simply Business,"London, UK","£55,000 - 70,000",We have Senior & Lead Ruby Developer positions - 3 new projects launching from scratch!  (we use Ruby on…,"[""ruby-on-rails""]",/jobs/119355/senior-developers-winner-of-best-company-to-simply-business,2016-07-25,30
121565,Customer Support Technician,Wisconsin Court System,"Madison, WI",,The Consolidated Court Automation Programs (CCAP) is seeking qualified candidates for a full-time…,[],/jobs/121565/customer-support-technician-wisconsin-court-system,2016-07-25,30
121096,Senior Software Engineer (Minimum 10 years relevant experience) - MediaFirst,Ericsson,"Dublin, Ireland",,Req ID: 142362      Ericsson Overview        Ericsson is a world-leading provider of telecommunications…,"[""javascript"",""mobile"",""c#""]",/jobs/121096/senior-software-engineer-minimum-10-years-ericsson,2016-07-25,30
121094,Scrum Master - MediaFirst,Ericsson,"Dublin, Ireland",,Req ID: 142250      BUSS (Business Unit Support Solutions)            Scrum master - MediaFirst         …,"[""background"",""mobile"",""deployment""]",/jobs/121094/scrum-master-mediafirst-ericsson,2016-07-25,30
121093,Product Owner - MediaFirst,Ericsson,"Dublin, Ireland",,Req ID: 128980      BUSS (Business Unit Support Solutions)        Product Owner - MediaFirst           …,"[""mobile"",""background"",""matrix""]",/jobs/121093/product-owner-mediafirst-ericsson,2016-07-25,30
121552,Senior Software Engineer,Medtronic - Advanced Energy,"Portsmouth, NH",,This position has the responsibility and authority to provide technical expertise on a broad range of…,"[""c++"",""embedded"",""unit-testing"",""scaffolding""]",/jobs/121552/senior-software-engineer-medtronic-advanced-energy,2016-07-25,30
117065,Software Engineer C++,castLabs GmbH,"Berlin, Germany",,You will develop cutting-edge video delivery technology deployed in international telecommunication…,"[""c++"",""mpeg-dash"",""video-streaming"",""drm"",""android""]",/jobs/117065/software-engineer-c-plus-plus-castlabs-gmbh,2016-07-25,30
121238,Java Software Engineer,Ultimate Software,"Fort Lauderdale, FL",,"What do Outback Steakhouse, Pep Boys, and the Major League Baseball Network all have in common? They are…","[""java"",""c#"",""nosql"",""mongodb""]",/jobs/121238/java-software-engineer-ultimate-software,2016-07-25,30
121549,Project Manager/Systems Engineer,Best Friends Animal Society,"Kanab, UT",,"Position Summary: 
Project Management:
Responsible for all aspects of Project Management for System…","[""saas"",""office365"",""sharepoint"",""onedrive""]",/jobs/121549/project-manager-systems-engineer-best-friends-animal-society,2016-07-25,30
121550,Software Engineer/ Developer .Net,Exact,"Kuala Lumpur, Malaysia",,"Exact @Malaysia, Kuala LumpurAre you a software hero? Do you love the speed at which digital technology…","[""jquery"",""c#"",""vb.net"",""javascript""]",/jobs/121550/software-engineer-developer-net-exact,2016-07-25,30
121548,Exact,Exact,"Kuala Lumpur, Malaysia",,"Exact @Malaysia, Kuala LumpurAre you a software hero? Do you love the speed at which digital technology…","[""c++"",""computer-science"",""wtl"",""com"",""vb.net""]",/jobs/121548/exact-exact,2016-07-25,30
117056,Senior / Principal Data Scientist,Microsoft India (R&D),"Bengaluru, India",,"Position: Senior / Principal Data Scientist 
Job Location: Bangalore
Contact email:…","[""machine-learning"",""data-analysis"",""data-science""]",/jobs/117056/senior-principal-data-scientist-microsoft-india-r-d,2016-07-25,30
117053,Machine Learning Applied Scientist,Microsoft India (R&D),"Hyderabad, India",,"Applied Scientist 
Job Loc: Hyderabad
Division: Bing,Hyderabad
Contact email:…","[""machine-learning"",""data-mining"",""information-retrieval"",""image-processing"",""speech-recognition""]",/jobs/117053/machine-learning-applied-scientist-microsoft-india-r-d,2016-07-25,30
121547,Senior Desktop Support Specialist,SmashFly Technologies,"Concord, MA",,"As a Senior Desktop Support Specialist at SmashFly, What you’ll be contributing to:

At SmashFly, we…","[""3rdleveldesktopsupport"",""handsontechnicalassistanc"",""configures"",""imagesandtestscomputers"",""performstroubleshooting""]",/jobs/121547/senior-desktop-support-specialist-smashfly-technologies,2016-07-25,30
121546,.Net MVC Web Developer - Part Remote,BI WORLDWIDE EMEA,"Newport Pagnell, UK",,"Due to expansion, an exciting opportunity has arisen for .Net MVC Web Developers with Database skills to…","[""asp.net"",""c#"",""sql"",""tsql"",""asp.net-web-api""]",/jobs/121546/net-mvc-web-developer-part-remote-bi-worldwide-emea,2016-07-25,30
117051,Head of Technology,MSO Digital GmbH & Co. KG,"Osnabrück, Deutschland",,MSO Digital GmbH & Co. KG agiert als ein junges und dynamisches Unternehmen im Bereich des…,"[""php"",""javascript"",""angularjs"",""bigdata"",""architecture""]",/jobs/117051/head-of-technology-mso-digital-gmbh-co-kg,2016-07-25,30
