jobid,title,employer,location,salary,description,tags,url,date,weeknum,equity,currency,salary_low,salary_high,country,state,city
122318,Java/JEE/Websphere Developer,T. Rowe Price,"Owings Mills, MD",,The Systems Consultant (Java/JEE/Websphere Developer) will work with the Enterprise Integration Services…,"[""java-ee"",""websphere"",""java"",""rest"",""ejb""]",/jobs/122318/java-jee-websphere-developer-t-rowe-price,2016-08-05,31,False,,0,0,US,MD,Owings Mills
122317,SQL and .Net Developer (TW121),Microsoft,"Redmond, WA",,"Seattle area candidates only!  Our client has an amazing opportunity, to build and maintain a world…",[],/jobs/122317/sql-and-net-developer-tw121-microsoft,2016-08-05,31,False,,0,0,US,WA,Redmond
122315,Senior Software Engineer,Rapid7,"Dublin, Ireland",,We are looking for a talented and experienced Senior Software Engineer with a strong background in the…,"[""javascript"",""reactjs"",""angularjs"",""python""]",/jobs/122315/senior-software-engineer-rapid7,2016-08-05,31,False,,0,0,Ireland,,Dublin
119036,Mid Level - Software Developer (Electronic Trading),Sendence,"New York, NY","$100,000 - 140,000",** Applicants Must Have Financial / Electronic Trading Experience ** Sendence is looking for a hands on…,"[""java"",""finance"",""messaging"",""fix"",""sysadmin""]",/jobs/119036/mid-level-software-developer-electronic-sendence,2016-08-05,31,False,$,"100,000","140,000",US,NY,New York
122314,Senior Backend Java Developer,AUTO1,"Berlin, Germany",,"What you will do:

Take ownership of a platform component from design to operations
Build, scale and…","[""java"",""spring-boot"",""microservices"",""rest"",""amazon-web-services""]",/jobs/122314/senior-backend-java-developer-auto1,2016-08-05,31,False,,0,0,Germany,,Berlin
122312,Ruby on Rails Developer,SweetRush Inc.,"San Francisco, CA",,"SweetRush is looking for a RoR Developer rock star to play an important role in building, maintaining,…","[""ruby-on-rails"",""linux"",""tdd"",""command-line"",""amazon-web-services""]",/jobs/122312/ruby-on-rails-developer-sweetrush-inc,2016-08-05,31,False,,0,0,US,CA,San Francisco
122311,Senior Unix Engineer,Novartis,"San Diego, CA",,"A global healthcare leader, Novartis has one of the most exciting product pipelines in the industry…","[""unix"",""ruby"",""python"",""devops"",""windows""]",/jobs/122311/senior-unix-engineer-novartis,2016-08-05,31,False,,0,0,US,CA,San Diego
122310,Opportunity for Product Manager to join a solutions focused remote team,InventoryLab,No office location,,"This is a remote work position, you may be located anywhere within the Unites States
At InventoryLab we…",[],/jobs/122310/opportunity-for-product-manager-to-join-a-inventorylab,2016-08-05,31,False,,0,0,,,No office location
122306,Software Engineer,Ansatz Capital,"New York, NY",Provides Equity,"We are looking for a software engineer to join a lean, young, and technical quantitative trading…","[""c++11"",""python"",""quantitative-finance"",""amazon-web-services"",""nosql""]",/jobs/122306/software-engineer-ansatz-capital,2016-08-05,31,True,,0,0,US,NY,New York
122308,JAVA-ENTWICKLER MIT INTERESSE AN FINANZMÄRKTEN (m/w),Quantumrock Research & Trading GmbH,"München, Germany",,"Ihre Aufgaben:

Entwicklung von hochperformanten Applikationen im high frequency Future- und…","[""j2ee"",""c#"",""java"",""css"",""javascript""]",/jobs/122308/java-entwickler-mit-interesse-an-finanzm%C3%A4rkten-m-quantumrock-research,2016-08-05,31,False,,0,0,Germany,,München
120873,Full Stack Engineer,Loop Lab Inc.,"Kitchener, ON, Canada","$80,000 - 100,000

                                / 
Provides Equity",We offer people a new way to control comfort by collecting and analysing their home’s environment data…,"[""python"",""node.js"",""firebase"",""polymer"",""tensorflow""]",/jobs/120873/full-stack-engineer-loop-lab-inc,2016-08-05,31,True,$,"80,000","100,000",Canada,ON,Kitchener
122305,Software Engineer: Network,DigitalOcean,No office location,Provides Equity,DigitalOcean’s software engineers develop next-generation cloud infrastructure technology that will…,"[""sdn"",""network-programming"",""virtualization"",""system""]",/jobs/122305/software-engineer-network-digitalocean,2016-08-05,31,True,,0,0,,,No office location
122304,PHP Web Developer (Craft / Laravel / ExpressionEngine / MVC / other),Vector Media Group,"New York, NY",,"Summary
Vector Media Group is looking for a full-time PHP web developer to join our team immediately.…","[""php"",""cms"",""backend"",""web""]",/jobs/122304/php-web-developer-craft-laravel-vector-media-group,2016-08-05,31,False,,0,0,US,NY,New York
122303,Data Scientist for Social App,Divergent Strategies,"Los Angeles, CA",,We believe in questioning paradigms and are developing an app that challenges widely held beliefs about…,"[""python"",""go"",""data-science"",""matlab"",""apache-spark""]",/jobs/122303/data-scientist-for-social-app-divergent-strategies,2016-08-05,31,False,,0,0,US,CA,Los Angeles
122302,Sr PHP Developer,Xpressdocs,"Fort Worth, TX",,"POSITION SUMMARYWe are looking for a senior level PHP developer that excels at problem solving, support…","[""mysql"",""jquery"",""symfony"",""php""]",/jobs/122302/sr-php-developer-xpressdocs,2016-08-05,31,False,,0,0,US,TX,Fort Worth
Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
122299,Senior Software Engineer,Rapid7,"Belfast, UK",,Want to work on truly cutting edge solutions? Love creating and improving upon novel solutions that have…,[],/jobs/122299/senior-software-engineer-rapid7,2016-08-05,31,False,,0,0,UK,,Belfast
122298,Software Engineer: Compute,DigitalOcean,No office location,Provides Equity,DigitalOcean’s software engineers develop next-generation cloud infrastructure technology that will…,[],/jobs/122298/software-engineer-compute-digitalocean,2016-08-05,31,True,,0,0,,,No office location
122297,Javascript Software Developer,Elsevier,"Kidlington, UK",,Elsevier want to make our customers experience of finding and purchasing our products and services…,"[""javascript""]",/jobs/122297/javascript-software-developer-elsevier,2016-08-05,31,False,,0,0,UK,,Kidlington
122157,Geophysical Software Developer,DownUnder GeoSolutions,"West Perth, Australia",,DownUnder GeoSolutions' reputation for excellence in seismic data processing and geophysical…,"[""c"",""c++"",""java"",""cluster-computing"",""c#""]",/jobs/122157/geophysical-software-developer-downunder-geosolutions,2016-08-05,31,False,,0,0,Australia,,West Perth
122348,"Eng 2, Enterprise Managed Services",Comcast,"Centennial, CO",,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,"[""input""]",/jobs/122348/eng-2-enterprise-managed-services-comcast,2016-08-05,31,False,,0,0,US,CO,Centennial
122344,C# Programmer,2C2P(Thailand),"Bangkok, Thailand",,"Responsibilities:

Design and develop the system based on requirement specifications especially C# in…","[""c#"",""asp.net"",""css"",""frontend"",""html""]",/jobs/122344/c-sharp-programmer-2c2p-thailand,2016-08-05,31,False,,0,0,Thailand,,Bangkok
122346,Junior / Mid Level Software Engineer - C++,Wargaming Sydney,"Sydney, Australia",,Wargaming Sydney is looking for a Junior / Mid Level Software Engineer to join our team. Your primary…,"[""c++"",""linux"",""gaming""]",/jobs/122346/junior-mid-level-software-engineer-c-plus-plus-wargaming-sydney,2016-08-05,31,False,,0,0,Australia,,Sydney
122345,"Ruby, Node.js Server-side Linux Engineer",Macquarie Group,"Sydney, Australia",,"Contract Position

Work on cloud technology
Strategic initiative and greenfield project
Contract…","[""ruby"",""node.js"",""python"",""bash"",""server-side""]",/jobs/122345/ruby-nodejs-server-side-linux-engineer-macquarie-group,2016-08-05,31,False,,0,0,Australia,,Sydney
107304,Junior/Mid-Level Software Engineer (100% remote work),Alliance Reservations Network,"Portland, OR","$60,000 - 65,000","Agencies please do not apply, we are not interested.  We are interested in U.S. residents only, this is…","[""vb.net"",""sql-server"",""webforms"",""asp.net""]",/jobs/107304/junior-mid-level-software-engineer-100-remote-alliance-reservations-network,2016-08-05,31,False,$,"60,000","65,000",US,OR,Portland
